,GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,CGPA,Research,Chance_of_Admission
534,331,112,5,4.0,5.0,9.8,1,0.94
535,320,110,5,5.0,5.0,9.2,1,0.88
536,299,106,2,4.0,4.0,8.4,0,0.64
537,300,105,1,1.0,2.0,7.8,0,0.58
538,304,105,1,3.0,1.5,7.5,0,0.52
539,307,108,2,4.0,3.5,7.7,0,0.48
540,308,110,3,3.5,3.0,8.0,1,0.46
541,316,105,2,2.5,2.5,8.2,1,0.49
542,313,107,2,2.5,2.0,8.5,1,0.53
543,332,117,4,4.5,4.0,9.1,0,0.87
544,326,113,5,4.5,4.0,9.4,1,0.91
545,322,110,5,5.0,4.0,9.1,1,0.88
546,329,114,5,4.0,5.0,9.3,1,0.86
547,339,119,5,4.5,4.0,9.7,0,0.89
548,321,110,3,3.5,5.0,8.85,1,0.82
549,327,111,4,3.0,4.0,8.4,1,0.78
550,313,98,3,2.5,4.5,8.3,1,0.76
551,312,100,2,1.5,3.5,7.9,1,0.56
552,334,116,4,4.0,3.0,8.0,1,0.78
553,324,112,4,4.0,2.5,8.1,1,0.72
554,322,110,3,3.0,3.5,8.0,0,0.7
555,320,103,3,3.0,3.0,7.7,0,0.64
556,316,102,3,2.0,3.0,7.4,0,0.64
557,298,99,2,4.0,2.0,7.6,0,0.46
558,300,99,1,3.0,2.0,6.8,1,0.36
559,311,104,2,2.0,2.0,8.3,0,0.42
560,309,100,2,3.0,3.0,8.1,0,0.48
561,307,101,3,4.0,3.0,8.2,0,0.47
562,304,105,2,3.0,3.0,8.2,1,0.54
563,315,107,2,4.0,3.0,8.5,1,0.56
564,325,111,3,3.0,3.5,8.7,0,0.52
565,325,112,4,3.5,3.5,8.92,0,0.55
566,327,114,3,3.0,3.0,9.02,0,0.61
567,316,107,2,3.5,3.5,8.64,1,0.57
568,318,109,3,3.5,4.0,9.22,1,0.68
569,328,115,4,4.5,4.0,9.16,1,0.78
570,332,118,5,5.0,5.0,9.64,1,0.94
571,336,112,5,5.0,5.0,9.76,1,0.96
572,321,111,5,5.0,5.0,9.45,1,0.93
573,314,108,4,4.5,4.0,9.04,1,0.84
574,314,106,3,3.0,5.0,8.9,0,0.74
575,329,114,2,2.0,4.0,8.56,1,0.72
576,327,112,3,3.0,3.0,8.72,1,0.74
577,301,99,2,3.0,2.0,8.22,0,0.64
578,296,95,2,3.0,2.0,7.54,1,0.44
579,294,93,1,1.5,2.0,7.36,0,0.46
580,312,105,3,2.0,3.0,8.02,1,0.5
581,340,120,4,5.0,5.0,9.5,1,0.96
582,320,110,5,5.0,4.5,9.22,1,0.92
583,322,115,5,4.0,4.5,9.36,1,0.92
584,340,115,5,4.5,4.5,9.45,1,0.94
585,319,103,4,4.5,3.5,8.66,0,0.76
586,315,106,3,4.5,3.5,8.42,0,0.72
587,317,107,2,3.5,3.0,8.28,0,0.66
588,314,108,3,4.5,3.5,8.14,0,0.64
589,316,109,4,4.5,3.5,8.76,1,0.74
590,318,106,2,4.0,4.0,7.92,1,0.64
591,299,97,3,5.0,3.5,7.66,0,0.38
592,298,98,2,4.0,3.0,8.03,0,0.34
593,301,97,2,3.0,3.0,7.88,1,0.44
594,303,99,3,2.0,2.5,7.66,0,0.36
595,304,100,4,1.5,2.5,7.84,0,0.42
596,306,100,2,3.0,3.0,8.0,0,0.48
597,331,120,3,4.0,4.0,8.96,1,0.86
598,332,119,4,5.0,4.5,9.24,1,0.9
599,323,113,3,4.0,4.0,8.88,1,0.79
600,322,107,3,3.5,3.5,8.46,1,0.71
601,312,105,2,2.5,3.0,8.12,0,0.64
602,314,106,2,4.0,3.5,8.25,0,0.62
603,317,104,2,4.5,4.0,8.47,0,0.57
604,326,112,3,3.5,3.0,9.05,1,0.74
605,316,110,3,4.0,4.5,8.78,1,0.69
606,329,111,4,4.5,4.5,9.18,1,0.87
607,338,117,4,3.5,4.5,9.46,1,0.91
608,331,116,5,5.0,5.0,9.38,1,0.93
609,304,103,5,5.0,4.0,8.64,0,0.68
610,305,108,5,3.0,3.0,8.48,0,0.61
611,321,109,4,4.0,4.0,8.68,1,0.69
612,301,107,3,3.5,3.5,8.34,1,0.62
613,320,110,2,4.0,3.5,8.56,0,0.72
614,311,105,3,3.5,3.0,8.45,1,0.59
615,310,106,4,4.5,4.5,9.04,1,0.66
616,299,102,3,4.0,3.5,8.62,0,0.56
617,290,104,4,2.0,2.5,7.46,0,0.45
618,296,99,2,3.0,3.5,7.28,0,0.47
619,327,104,5,3.0,3.5,8.84,1,0.71
620,335,117,5,5.0,5.0,9.56,1,0.94
621,334,119,5,4.5,4.5,9.48,1,0.94
622,310,106,4,1.5,2.5,8.36,0,0.57
623,308,108,3,3.5,3.5,8.22,0,0.61
624,301,106,4,2.5,3.0,8.47,0,0.57
625,300,100,3,2.0,3.0,8.66,1,0.64
626,323,113,3,4.0,3.0,9.32,1,0.85
627,319,112,3,2.5,2.0,8.71,1,0.78
628,326,112,3,3.5,3.0,9.1,1,0.84
629,333,118,5,5.0,5.0,9.35,1,0.92
630,339,114,5,4.0,4.5,9.76,1,0.96
631,303,105,5,5.0,4.5,8.65,0,0.77
632,309,105,5,3.5,3.5,8.56,0,0.71
633,323,112,5,4.0,4.5,8.78,0,0.79
634,333,113,5,4.0,4.0,9.28,1,0.89
635,314,109,4,3.5,4.0,8.77,1,0.82
636,312,103,3,5.0,4.0,8.45,0,0.76
637,316,100,2,1.5,3.0,8.16,1,0.71
638,326,116,2,4.5,3.0,9.08,1,0.8
639,318,109,1,3.5,3.5,9.12,0,0.78
640,329,110,2,4.0,3.0,9.15,1,0.84
641,332,118,2,4.5,3.5,9.36,1,0.9
642,331,115,5,4.0,3.5,9.44,1,0.92
643,340,120,4,4.5,4.0,9.92,1,0.97
644,325,112,2,3.0,3.5,8.96,1,0.8
645,320,113,2,2.0,2.5,8.64,1,0.81
646,315,105,3,2.0,2.5,8.48,0,0.75
647,326,114,3,3.0,3.0,9.11,1,0.83
648,339,116,4,4.0,3.5,9.8,1,0.96
649,311,106,2,3.5,3.0,8.26,1,0.79
650,334,114,4,4.0,4.0,9.43,1,0.93
651,332,116,5,5.0,5.0,9.28,1,0.94
652,321,112,5,5.0,5.0,9.06,1,0.86
653,324,105,3,3.0,4.0,8.75,0,0.79
654,326,108,3,3.0,3.5,8.89,0,0.8
655,312,109,3,3.0,3.0,8.69,0,0.77
656,315,105,3,2.0,2.5,8.34,0,0.7
657,309,104,2,2.0,2.5,8.26,0,0.65
658,306,106,2,2.0,2.5,8.14,0,0.61
659,297,100,1,1.5,2.0,7.9,0,0.52
660,315,103,1,1.5,2.0,7.86,0,0.57
661,298,99,1,1.5,3.0,7.46,0,0.53
662,318,109,3,3.0,3.0,8.5,0,0.67
663,317,105,3,3.5,3.0,8.56,0,0.68
664,329,111,4,4.5,4.0,9.01,1,0.81
665,322,110,5,4.5,4.0,8.97,0,0.78
666,302,102,3,3.5,5.0,8.33,0,0.65
667,313,102,3,2.0,3.0,8.27,0,0.64
668,293,97,2,2.0,4.0,7.8,1,0.64
669,311,99,2,2.5,3.0,7.98,0,0.65
670,312,101,2,2.5,3.5,8.04,1,0.68
671,334,117,5,4.0,4.5,9.07,1,0.89
672,322,110,4,4.0,5.0,9.13,1,0.86
673,323,113,4,4.0,4.5,9.23,1,0.89
674,321,111,4,4.0,4.0,8.97,1,0.87
675,320,111,4,4.5,3.5,8.87,1,0.85
676,329,119,4,4.5,4.5,9.16,1,0.9
677,319,110,3,3.5,3.5,9.04,0,0.82
678,309,108,3,2.5,3.0,8.12,0,0.72
679,307,102,3,3.0,3.0,8.27,0,0.73
680,300,104,3,3.5,3.0,8.16,0,0.71
681,305,107,2,2.5,2.5,8.42,0,0.71
682,299,100,2,3.0,3.5,7.88,0,0.68
683,314,110,3,4.0,4.0,8.8,0,0.75
684,316,106,2,2.5,4.0,8.32,0,0.72
685,327,113,4,4.5,4.5,9.11,1,0.89
686,317,107,3,3.5,3.0,8.68,1,0.84
687,335,118,5,4.5,3.5,9.44,1,0.93
688,331,115,5,4.5,3.5,9.36,1,0.93
689,324,112,5,5.0,5.0,9.08,1,0.88
690,324,111,5,4.5,4.0,9.16,1,0.9
691,323,110,5,4.0,5.0,8.98,1,0.87
692,322,114,5,4.5,4.0,8.94,1,0.86
693,336,118,5,4.5,5.0,9.53,1,0.94
694,316,109,3,3.5,3.0,8.76,0,0.77
695,307,107,2,3.0,3.5,8.52,1,0.78
696,306,105,2,3.0,2.5,8.26,0,0.73
697,310,106,2,3.5,2.5,8.33,0,0.73
698,311,104,3,4.5,4.5,8.43,0,0.7
699,313,107,3,4.0,4.5,8.69,0,0.72
700,317,103,3,2.5,3.0,8.54,1,0.73
701,315,110,2,3.5,3.0,8.46,1,0.72
702,340,120,5,4.5,4.5,9.91,1,0.97
703,334,120,5,4.0,5.0,9.87,1,0.97
704,298,105,3,3.5,4.0,8.54,0,0.69
705,295,99,2,2.5,3.0,7.65,0,0.57
706,315,99,2,3.5,3.0,7.89,0,0.63
707,310,102,3,3.5,4.0,8.02,1,0.66
708,305,106,2,3.0,3.0,8.16,0,0.64
709,301,104,3,3.5,4.0,8.12,1,0.68
710,325,108,4,4.5,4.0,9.06,1,0.79
711,328,110,4,5.0,4.0,9.14,1,0.82
712,338,120,4,5.0,5.0,9.66,1,0.95
713,333,119,5,5.0,4.5,9.78,1,0.96
714,331,117,4,4.5,5.0,9.42,1,0.94
715,330,116,5,5.0,4.5,9.36,1,0.93
716,322,112,4,4.5,4.5,9.26,1,0.91
717,321,109,4,4.0,4.0,9.13,1,0.85
718,324,110,4,3.0,3.5,8.97,1,0.84
719,312,104,3,3.5,3.5,8.42,0,0.74
720,313,103,3,4.0,4.0,8.75,0,0.76
721,316,110,3,3.5,4.0,8.56,0,0.75
722,324,113,4,4.5,4.0,8.79,0,0.76
723,308,109,2,3.0,4.0,8.45,0,0.71
724,305,105,2,3.0,2.0,8.23,0,0.67
725,296,99,2,2.5,2.5,8.03,0,0.61
726,306,110,2,3.5,4.0,8.45,0,0.63
727,312,110,2,3.5,3.0,8.53,0,0.64
728,318,112,3,4.0,3.5,8.67,0,0.71
729,324,111,4,3.0,3.0,9.01,1,0.82
730,313,104,3,4.0,4.5,8.65,0,0.73
731,319,106,3,3.5,2.5,8.33,1,0.74
732,312,107,2,2.5,3.5,8.27,0,0.69
733,304,100,2,2.5,3.5,8.07,0,0.64
734,330,113,5,5.0,4.0,9.31,1,0.91
735,326,111,5,4.5,4.0,9.23,1,0.88
736,325,112,4,4.0,4.5,9.17,1,0.85
737,329,114,5,4.5,5.0,9.19,1,0.86
738,310,104,3,2.0,3.5,8.37,0,0.7
739,299,100,1,1.5,2.0,7.89,0,0.59
740,296,101,1,2.5,3.0,7.68,0,0.6
741,317,103,2,2.5,2.0,8.15,0,0.65
742,324,115,3,3.5,3.0,8.76,1,0.7
743,325,114,3,3.5,3.0,9.04,1,0.76
744,314,107,2,2.5,4.0,8.56,0,0.63
745,328,110,4,4.0,2.5,9.02,1,0.81
746,316,105,3,3.0,3.5,8.73,0,0.72
747,311,104,2,2.5,3.5,8.48,0,0.71
748,324,110,3,3.5,4.0,8.87,1,0.8
749,321,111,3,3.5,4.0,8.83,1,0.77
750,320,104,3,3.0,2.5,8.57,1,0.74
751,316,99,2,2.5,3.0,9.0,0,0.7
752,318,100,2,2.5,3.5,8.54,1,0.71
753,335,115,4,4.5,4.5,9.68,1,0.93
754,321,114,4,4.0,5.0,9.12,0,0.85
755,307,110,4,4.0,4.5,8.37,0,0.79
756,309,99,3,4.0,4.0,8.56,0,0.76
757,324,100,3,4.0,5.0,8.64,1,0.78
758,326,102,4,5.0,5.0,8.76,1,0.77
759,331,119,4,5.0,4.5,9.34,1,0.9
760,327,108,5,5.0,3.5,9.13,1,0.87
761,312,104,3,3.5,4.0,8.09,0,0.71
762,308,103,2,2.5,4.0,8.36,1,0.7
763,324,111,3,2.5,1.5,8.79,1,0.7
764,325,110,2,3.0,2.5,8.76,1,0.75
765,313,102,3,2.5,2.5,8.68,0,0.71
766,312,105,2,2.0,2.5,8.45,0,0.72
767,314,107,3,3.0,3.5,8.17,1,0.73
768,327,113,4,4.5,5.0,9.14,0,0.83
769,308,108,4,4.5,5.0,8.34,0,0.77
770,306,105,2,2.5,3.0,8.22,1,0.72
771,299,96,2,1.5,2.0,7.86,0,0.54
772,294,95,1,1.5,1.5,7.64,0,0.49
773,312,99,1,1.0,1.5,8.01,1,0.52
774,315,100,1,2.0,2.5,7.95,0,0.58
775,322,110,3,3.5,3.0,8.96,1,0.78
776,329,113,5,5.0,4.5,9.45,1,0.89
777,320,101,2,2.5,3.0,8.62,0,0.7
778,308,103,2,3.0,3.5,8.49,0,0.66
779,304,102,2,3.0,4.0,8.73,0,0.67
780,311,102,3,4.5,4.0,8.64,1,0.68
781,317,110,3,4.0,4.5,9.11,1,0.8
782,312,106,3,4.0,3.5,8.79,1,0.81
783,321,111,3,2.5,3.0,8.9,1,0.8
784,340,112,4,5.0,4.5,9.66,1,0.94
785,331,116,5,4.0,4.0,9.26,1,0.93
786,336,118,5,4.5,4.0,9.19,1,0.92
787,324,114,5,5.0,4.5,9.08,1,0.89
788,314,104,4,5.0,5.0,9.02,0,0.82
789,313,109,3,4.0,3.5,9.0,0,0.79
790,307,105,2,2.5,3.0,7.65,0,0.58
791,300,102,2,1.5,2.0,7.87,0,0.56
792,302,99,2,1.0,2.0,7.97,0,0.56
793,312,98,1,3.5,3.0,8.18,1,0.64
794,316,101,2,2.5,2.0,8.32,1,0.61
795,317,100,2,3.0,2.5,8.57,0,0.68
796,310,107,3,3.5,3.5,8.67,0,0.76
797,320,120,3,4.0,4.5,9.11,0,0.86
798,330,114,3,4.5,4.5,9.24,1,0.9
799,305,112,3,3.0,3.5,8.65,0,0.71
800,309,106,2,2.5,2.5,8.0,0,0.62
801,319,108,2,2.5,3.0,8.76,0,0.66
802,322,105,2,3.0,3.0,8.45,1,0.65
803,323,107,3,3.5,3.5,8.55,1,0.73
804,313,106,2,2.5,2.0,8.43,0,0.62
805,321,109,3,3.5,3.5,8.8,1,0.74
806,323,110,3,4.0,3.5,9.1,1,0.79
807,325,112,4,4.0,4.0,9.0,1,0.8
808,312,108,3,3.5,3.0,8.53,0,0.69
809,308,110,4,3.5,3.0,8.6,0,0.7
810,320,104,3,3.0,3.5,8.74,1,0.76
811,328,108,4,4.5,4.0,9.18,1,0.84
812,311,107,4,4.5,4.5,9.0,1,0.78
813,301,100,3,3.5,3.0,8.04,0,0.67
814,305,105,2,3.0,4.0,8.13,0,0.66
815,308,104,2,2.5,3.0,8.07,0,0.65
816,298,101,2,1.5,2.0,7.86,0,0.54
817,300,99,1,1.0,2.5,8.01,0,0.58
818,324,111,3,2.5,2.0,8.8,1,0.79
819,327,113,4,3.5,3.0,8.69,1,0.8
820,317,106,3,4.0,3.5,8.5,1,0.75
821,323,104,3,4.0,4.0,8.44,1,0.73
822,314,107,2,2.5,4.0,8.27,0,0.72
823,305,102,2,2.0,2.5,8.18,0,0.62
824,315,104,3,3.0,2.5,8.33,0,0.67
825,326,116,3,3.5,4.0,9.14,1,0.81
826,299,100,3,2.0,2.0,8.02,0,0.63
827,295,101,2,2.5,2.0,7.86,0,0.69
828,324,112,4,4.0,3.5,8.77,1,0.8
829,297,96,2,2.5,1.5,7.89,0,0.43
830,327,113,3,3.5,3.0,8.66,1,0.8
831,311,105,2,3.0,2.0,8.12,1,0.73
832,308,106,3,3.5,2.5,8.21,1,0.75
833,319,108,3,3.0,3.5,8.54,1,0.71
834,312,107,4,4.5,4.0,8.65,1,0.73
835,325,111,4,4.0,4.5,9.11,1,0.83
836,319,110,3,3.0,2.5,8.79,0,0.72
837,332,118,5,5.0,5.0,9.47,1,0.94
838,323,108,5,4.0,4.0,8.74,1,0.81
839,324,107,5,3.5,4.0,8.66,1,0.81
840,312,107,3,3.0,3.0,8.46,1,0.75
841,326,110,3,3.5,3.5,8.76,1,0.79
842,308,106,3,3.0,3.0,8.24,0,0.58
843,305,103,2,2.5,3.5,8.13,0,0.59
844,295,96,2,1.5,2.0,7.34,0,0.47
845,316,98,1,1.5,2.0,7.43,0,0.49
846,304,97,2,1.5,2.0,7.64,0,0.47
847,299,94,1,1.0,1.0,7.34,0,0.42
848,302,99,1,2.0,2.0,7.25,0,0.57
849,313,101,3,2.5,3.0,8.04,0,0.62
850,318,107,3,3.0,3.5,8.27,1,0.74
851,325,110,4,3.5,4.0,8.67,1,0.73
852,303,100,2,3.0,3.5,8.06,1,0.64
853,300,102,3,3.5,2.5,8.17,0,0.63
854,297,98,2,2.5,3.0,7.67,0,0.59
855,317,106,2,2.0,3.5,8.12,0,0.73
856,327,109,3,3.5,4.0,8.77,1,0.79
857,301,104,2,3.5,3.5,7.89,1,0.68
858,314,105,2,2.5,2.0,7.64,0,0.7
859,321,107,2,2.0,1.5,8.44,0,0.81
860,322,110,3,4.0,5.0,8.64,1,0.85
861,334,116,4,4.0,3.5,9.54,1,0.93
862,338,115,5,4.5,5.0,9.23,1,0.91
863,306,103,2,2.5,3.0,8.36,0,0.69
864,313,102,3,3.5,4.0,8.9,1,0.77
865,330,114,4,4.5,3.0,9.17,1,0.86
866,320,104,3,3.5,4.5,8.34,1,0.74
867,311,98,1,1.0,2.5,7.46,0,0.57
868,298,92,1,2.0,2.0,7.88,0,0.51
869,301,98,1,2.0,3.0,8.03,1,0.67
870,310,103,2,2.5,2.5,8.24,0,0.72
871,324,110,3,3.5,3.0,9.22,1,0.89
872,336,119,4,4.5,4.0,9.62,1,0.95
873,321,109,3,3.0,3.0,8.54,1,0.79
874,315,105,2,2.0,2.5,7.65,0,0.39
875,304,101,2,2.0,2.5,7.66,0,0.38
876,297,96,2,2.5,2.0,7.43,0,0.34
877,290,100,1,1.5,2.0,7.56,0,0.47
878,303,98,1,2.0,2.5,7.65,0,0.56
879,311,99,1,2.5,3.0,8.43,1,0.71
880,322,104,3,3.5,4.0,8.84,1,0.78
881,319,105,3,3.0,3.5,8.67,1,0.73
882,324,110,4,4.5,4.0,9.15,1,0.82
883,300,100,3,3.0,3.5,8.26,0,0.62
884,340,113,4,5.0,5.0,9.74,1,0.96
885,335,117,5,5.0,5.0,9.82,1,0.96
886,302,101,2,2.5,3.5,7.96,0,0.46
887,307,105,2,2.0,3.5,8.1,0,0.53
888,296,97,2,1.5,2.0,7.8,0,0.49
889,320,108,3,3.5,4.0,8.44,1,0.76
890,314,102,2,2.0,2.5,8.24,0,0.64
891,318,106,3,2.0,3.0,8.65,0,0.71
892,326,112,4,4.0,3.5,9.12,1,0.84
893,317,104,2,3.0,3.0,8.76,0,0.77
894,329,111,4,4.5,4.0,9.23,1,0.89
895,324,110,3,3.5,3.5,9.04,1,0.82
896,325,107,3,3.0,3.5,9.11,1,0.84
897,330,116,4,5.0,4.5,9.45,1,0.91
898,312,103,3,3.5,4.0,8.78,0,0.67
899,333,117,4,5.0,4.0,9.66,1,0.95
900,304,100,2,3.5,3.0,8.22,0,0.63
901,315,105,2,3.0,3.0,8.34,0,0.66
902,324,109,3,3.5,3.0,8.94,1,0.78
903,330,116,4,4.0,3.5,9.23,1,0.91
904,311,101,3,2.0,2.5,7.64,1,0.62
905,302,99,3,2.5,3.0,7.45,0,0.52
906,322,103,4,3.0,2.5,8.02,1,0.61
907,298,100,3,2.5,4.0,7.95,1,0.58
908,297,101,3,2.0,4.0,7.67,1,0.57
909,300,98,1,2.0,2.5,8.02,0,0.61
910,301,96,1,3.0,4.0,7.56,0,0.54
911,313,94,2,2.5,1.5,8.13,0,0.56
912,314,102,4,2.5,2.0,7.88,1,0.59
913,317,101,3,3.0,2.0,7.94,1,0.49
914,321,110,4,3.5,4.0,8.35,1,0.72
915,327,106,4,4.0,4.5,8.75,1,0.76
916,315,104,3,4.0,2.5,8.1,0,0.65
917,316,103,3,3.5,2.0,7.68,0,0.52
918,309,111,2,2.5,4.0,8.03,0,0.6
919,308,102,2,2.0,3.5,7.98,1,0.58
920,299,100,3,2.0,3.0,7.42,0,0.42
921,321,112,3,3.0,4.5,8.95,1,0.77
922,322,112,4,3.5,2.5,9.02,1,0.73
923,334,119,5,4.5,5.0,9.54,1,0.94
924,325,114,5,4.0,5.0,9.46,1,0.91
925,323,111,5,4.0,5.0,9.86,1,0.92
926,312,106,3,3.0,5.0,8.57,0,0.71
927,310,101,3,3.5,5.0,8.65,1,0.71
928,316,103,2,2.0,4.5,8.74,0,0.69
929,340,115,5,5.0,4.5,9.06,1,0.95
930,311,104,3,4.0,3.5,8.13,1,0.74
931,320,112,2,3.5,3.5,8.78,1,0.73
932,324,112,4,4.5,4.0,9.22,1,0.86
933,316,111,4,4.0,5.0,8.54,0,0.71
934,306,103,3,3.5,3.0,8.21,0,0.64
935,309,105,2,2.5,4.0,7.68,0,0.55
936,310,110,1,1.5,4.0,7.23,1,0.58
937,317,106,1,1.5,3.5,7.65,1,0.61
938,318,110,1,2.5,3.5,8.54,1,0.67
939,312,105,2,1.5,3.0,8.46,0,0.66
940,305,104,2,2.5,1.5,7.79,0,0.53
941,332,112,1,1.5,3.0,8.66,1,0.79
942,331,116,4,4.5,4.5,9.44,1,0.92
943,321,114,5,4.5,4.5,9.16,1,0.87
944,324,113,5,4.0,5.0,9.25,1,0.92
945,328,116,5,4.5,5.0,9.08,1,0.91
946,327,118,4,5.0,5.0,9.67,1,0.93
947,320,108,3,3.5,5.0,8.97,1,0.84
948,312,109,2,2.5,4.0,9.02,0,0.8
949,315,101,3,3.5,4.5,9.13,0,0.79
950,320,112,4,3.0,4.5,8.86,1,0.82
951,324,113,4,4.5,4.5,9.25,1,0.89
952,328,116,4,5.0,3.5,9.6,1,0.93
953,319,103,3,2.5,4.0,8.76,1,0.73
954,310,105,2,3.0,3.5,8.01,0,0.71
955,305,102,2,1.5,2.5,7.64,0,0.59
956,299,100,2,2.0,2.0,7.88,0,0.51
957,295,99,1,2.0,1.5,7.57,0,0.37
958,312,100,1,3.0,3.0,8.53,1,0.69
959,329,113,4,4.0,3.5,9.36,1,0.89
960,319,105,4,4.0,4.5,8.66,1,0.77
961,301,102,3,2.5,2.0,8.13,1,0.68
962,307,105,4,3.0,3.0,7.94,0,0.62
963,304,107,3,3.5,3.0,7.86,0,0.57
964,298,97,2,2.0,3.0,7.21,0,0.45
965,305,96,4,3.0,4.5,8.26,0,0.54
966,314,99,4,3.5,4.5,8.73,1,0.71
967,318,101,5,3.5,5.0,8.78,1,0.78
968,323,110,4,4.0,5.0,8.88,1,0.81
969,326,114,4,4.0,3.5,9.16,1,0.86
970,320,110,5,4.0,4.0,9.27,1,0.87
971,311,103,3,2.0,4.0,8.09,0,0.64
972,327,116,4,4.0,4.5,9.48,1,0.9
973,316,102,2,4.0,3.5,8.15,0,0.67
974,308,105,4,3.0,2.5,7.95,1,0.67
975,300,101,3,3.5,2.5,7.88,0,0.59
976,304,104,3,2.5,2.0,8.12,0,0.62
977,309,105,4,3.5,2.0,8.18,0,0.65
978,318,103,3,4.0,4.5,8.49,1,0.71
979,325,110,4,4.5,4.0,8.96,1,0.79
980,321,102,3,3.5,4.0,9.01,1,0.8
981,323,107,4,3.0,2.5,8.48,1,0.78
982,328,113,4,4.0,2.5,8.77,1,0.83
983,304,103,5,5.0,3.0,7.92,0,0.71
984,317,106,3,3.5,3.0,7.89,1,0.73
985,311,101,2,2.5,3.5,8.34,1,0.7
986,319,102,3,2.5,2.5,8.37,0,0.68
987,327,115,4,3.5,4.0,9.14,0,0.79
988,322,112,3,3.0,4.0,8.62,1,0.76
989,302,110,3,4.0,4.5,8.5,0,0.65
990,307,105,2,2.5,4.5,8.12,1,0.67
991,297,99,4,3.0,3.5,7.81,0,0.54
992,298,101,4,2.5,4.5,7.69,1,0.53
993,300,95,2,3.0,1.5,8.22,1,0.62
994,301,99,3,2.5,2.0,8.45,1,0.68
995,332,108,5,4.5,4.0,9.02,1,0.87
996,337,117,5,5.0,5.0,9.87,1,0.96
997,330,120,5,4.5,5.0,9.56,1,0.93
998,312,103,4,4.0,5.0,8.43,0,0.73
999,327,113,4,4.5,4.5,9.04,0,0.84
